DateKey,Date,Day,WeekNr,Month,Monthshort,MonthNo,Quater,Year
20200723,2020-07-23,5,30,July,Jul,7,3,2020
20200724,2020-07-24,6,30,July,Jul,7,3,2020
20200725,2020-07-25,7,30,July,Jul,7,3,2020
20200726,2020-07-26,1,31,July,Jul,7,3,2020
20200727,2020-07-27,2,31,July,Jul,7,3,2020
20200728,2020-07-28,3,31,July,Jul,7,3,2020
20200729,2020-07-29,4,31,July,Jul,7,3,2020
20200730,2020-07-30,5,31,July,Jul,7,3,2020
20200731,2020-07-31,6,31,July,Jul,7,3,2020
20200801,2020-08-01,7,31,August,Aug,8,3,2020
20200802,2020-08-02,1,32,August,Aug,8,3,2020
20200803,2020-08-03,2,32,August,Aug,8,3,2020
20200804,2020-08-04,3,32,August,Aug,8,3,2020
20200805,2020-08-05,4,32,August,Aug,8,3,2020
20200806,2020-08-06,5,32,August,Aug,8,3,2020
20200807,2020-08-07,6,32,August,Aug,8,3,2020
20200808,2020-08-08,7,32,August,Aug,8,3,2020
20200809,2020-08-09,1,33,August,Aug,8,3,2020
20200810,2020-08-10,2,33,August,Aug,8,3,2020
20200811,2020-08-11,3,33,August,Aug,8,3,2020
20200812,2020-08-12,4,33,August,Aug,8,3,2020
20200813,2020-08-13,5,33,August,Aug,8,3,2020
20200814,2020-08-14,6,33,August,Aug,8,3,2020
20200815,2020-08-15,7,33,August,Aug,8,3,2020
20200816,2020-08-16,1,34,August,Aug,8,3,2020
20200817,2020-08-17,2,34,August,Aug,8,3,2020
20200818,2020-08-18,3,34,August,Aug,8,3,2020
20200819,2020-08-19,4,34,August,Aug,8,3,2020
20200820,2020-08-20,5,34,August,Aug,8,3,2020
20200821,2020-08-21,6,34,August,Aug,8,3,2020
20200822,2020-08-22,7,34,August,Aug,8,3,2020
20200823,2020-08-23,1,35,August,Aug,8,3,2020
20200824,2020-08-24,2,35,August,Aug,8,3,2020
20200825,2020-08-25,3,35,August,Aug,8,3,2020
20200826,2020-08-26,4,35,August,Aug,8,3,2020
20200827,2020-08-27,5,35,August,Aug,8,3,2020
20200828,2020-08-28,6,35,August,Aug,8,3,2020
20200829,2020-08-29,7,35,August,Aug,8,3,2020
20200830,2020-08-30,1,36,August,Aug,8,3,2020
20200831,2020-08-31,2,36,August,Aug,8,3,2020
20200901,2020-09-01,3,36,September,Sep,9,3,2020
20200902,2020-09-02,4,36,September,Sep,9,3,2020
20200903,2020-09-03,5,36,September,Sep,9,3,2020
20200904,2020-09-04,6,36,September,Sep,9,3,2020
20200905,2020-09-05,7,36,September,Sep,9,3,2020
20200906,2020-09-06,1,37,September,Sep,9,3,2020
20200907,2020-09-07,2,37,September,Sep,9,3,2020
20200908,2020-09-08,3,37,September,Sep,9,3,2020
20200909,2020-09-09,4,37,September,Sep,9,3,2020
20200910,2020-09-10,5,37,September,Sep,9,3,2020
20200911,2020-09-11,6,37,September,Sep,9,3,2020
20200912,2020-09-12,7,37,September,Sep,9,3,2020
20200913,2020-09-13,1,38,September,Sep,9,3,2020
20200914,2020-09-14,2,38,September,Sep,9,3,2020
20200915,2020-09-15,3,38,September,Sep,9,3,2020
20200916,2020-09-16,4,38,September,Sep,9,3,2020
20200917,2020-09-17,5,38,September,Sep,9,3,2020
20200918,2020-09-18,6,38,September,Sep,9,3,2020
20200919,2020-09-19,7,38,September,Sep,9,3,2020
20200920,2020-09-20,1,39,September,Sep,9,3,2020
20200921,2020-09-21,2,39,September,Sep,9,3,2020
20200922,2020-09-22,3,39,September,Sep,9,3,2020
20200923,2020-09-23,4,39,September,Sep,9,3,2020
20200924,2020-09-24,5,39,September,Sep,9,3,2020
20200925,2020-09-25,6,39,September,Sep,9,3,2020
20200926,2020-09-26,7,39,September,Sep,9,3,2020
20200927,2020-09-27,1,40,September,Sep,9,3,2020
20200928,2020-09-28,2,40,September,Sep,9,3,2020
20200929,2020-09-29,3,40,September,Sep,9,3,2020
20200930,2020-09-30,4,40,September,Sep,9,3,2020
20201001,2020-10-01,5,40,October,Oct,10,4,2020
20201002,2020-10-02,6,40,October,Oct,10,4,2020
20201003,2020-10-03,7,40,October,Oct,10,4,2020
20201004,2020-10-04,1,41,October,Oct,10,4,2020
20201005,2020-10-05,2,41,October,Oct,10,4,2020
20201006,2020-10-06,3,41,October,Oct,10,4,2020
